place,category,subcategory,thing,imdb_title,imdb_ratings,imdb_average
Denmark,literature,Novel,"Smilla’s Sense of Snow, by Peter Hoeg",NA,NA,NA
Denmark,music,Composer,Poul Ruders,NA,NA,NA
Denmark,person,Philosopher,Kierkegaard’s Either/Or,NA,NA,NA
Denmark,art,Painting,Danish Impressionism,NA,NA,NA
Tanzania,music,Music,Taarab,NA,NA,NA
Tanzania,movie,"Film, set in",Hatari!,Hatari! (1962),13333,7.1
Tanzania,art,Sculpture,Makonde,NA,NA,NA
Tanzania,art,Painting,Tingatinga,NA,NA,NA
Indonesia,music,Music,"Riches galore, most of all gamelan music",NA,NA,NA
Indonesia,literature,Novel,Pramoedya Toer’s Buru Quartet,NA,NA,NA
Indonesia,food,Food dish,Beef Rendang,NA,NA,NA
Indonesia,art,Painter,Nyoman Lesug,NA,NA,NA
Venice,art,Painting,Velazquez,NA,NA,NA
Venice,literature,"Work of fiction, set in","Death in Venice, Thomas Mann",NA,NA,NA
Venice,movie,"Movie, set in",Orson Welles’s Othello,Othello (1951),8891,7.6
Venice,music,"Techno group, named after",Venetian Snares,NA,NA,NA
Venice,music,Music,Monteverdi,NA,NA,NA
Venice,art,Theatre,Carlo Goldoni,NA,NA,NA
Venice,literature,Writer,Casanova,NA,NA,NA
Venice,music,Librettist,Lorenzo da Ponte,NA,NA,NA
Italy,art,Painter/artist,Morandi,NA,NA,NA
Italy,music,Composer,Berio,NA,NA,NA
Italy,music,Pianist,Maurizio Pollini,NA,NA,NA
Italy,music,Conductor,Toscanini,NA,NA,NA
Italy,music,Maria Callas performance,Norma,NA,NA,NA
Italy,literature,Author,Italo Calvino,NA,NA,NA
Italy,literature,Playwright,Pirandello,NA,NA,NA
Italy,movie,Film,The Leopard,Il gattopardo (1963),26511,8
Connecticut,music,Composer,Charles Ives,NA,NA,NA
Connecticut,music,Popular music,Moby,NA,NA,NA
Connecticut,literature,Poet,Wallace Stevens,NA,NA,NA
Connecticut,music,Artist,Chuck Close,NA,NA,NA
Connecticut,food,Food,CT,NA,NA,NA
Colombia,literature,Literature,Garcia Marquez,NA,NA,NA
Colombia,art,Painter,Fernando Botero,NA,NA,NA
Colombia,tv,TV show,Betty La Fea,NA,NA,NA
Colombia,movie,Movie,Maria Full of Grace,Maria Full of Grace (2004),35338,7.4
Colombia,person,Continental Liberator,Simon Bolivar,NA,NA,NA
Colombia,person,Blogger and sociologist,Fabio Rojas,NA,NA,NA
Colombia,person,Random category,Sofia Vergara,NA,NA,NA
Brazil,music,Classical music,Villa-Lobos,NA,NA,NA
Brazil,music,Acoustic guitar,Baden Powell,NA,NA,NA
Brazil,music,MPB,Brazil Classics 1,NA,NA,NA
Brazil,music,Copied by Beck,Os Mutantes,NA,NA,NA
Brazil,music,Brazilian electronica,Suba’s Sao Paulo Confessions,NA,NA,NA
Brazil,music,Drum music,Olodum,NA,NA,NA
Brazil,music,Forro,Music for Maids and Taxi Drivers,NA,NA,NA
Brazil,music,Classical pianist,Nelson Freire,NA,NA,NA
Brazil,art,Painter,Candido Portinari,NA,NA,NA
Brazil,movie,Movie,Black Orpheus,Orfeu Negro (1959),11498,7.4
Brazil,literature,Novel,Jorge Amado’s Dona Flor,NA,NA,NA
Brazil,other,Natural wonder,Iguassu,NA,NA,NA
Brazil,literature,Non-fiction books about,Nancy Scheper-Hughes’s Death Without Weeping: The Violence of Everyday Life in Brazil,NA,NA,NA
Brazil,art,Sculptor,Helio Oiticica,NA,NA,NA
New Jersey,music,Music,Count Basie,NA,NA,NA
New Jersey,literature,Author,Norman Mailer’s Harlot’s Ghost,NA,NA,NA
New Jersey,tv,TV show,The Sopranos,NA,NA,NA
New Jersey,literature,Poet,William Carlos Williams,NA,NA,NA
New Jersey,person,Comic,Jason Alexander,NA,NA,NA
New Jersey,movie,Director,Steven Spielberg,NA,NA,NA
New Jersey,literature,Non-fiction writer,John McPhee,NA,NA,NA
New Jersey,art,Painter,Jacob Lawrence,NA,NA,NA
New Jersey,economics,Economist,Milton Friedman,NA,NA,NA
New Jersey,movie,"Movie, set in",Clerks,Clerks (1994),224587,7.7
New Jersey,person,Mom,Mine,NA,NA,NA
Minnesota,music,Music,Dylan,NA,NA,NA
Minnesota,literature,Literature,F. Scott Fitzgerald,NA,NA,NA
Minnesota,art,Artist,Duane Hanson,NA,NA,NA
Minnesota,other,Small town,Duluth,NA,NA,NA
Minnesota,art,Museum,The Walker Art Center,NA,NA,NA
Indiana,music,Music,Michael Jackson,NA,NA,NA
Indiana,literature,Literature,Philip Jose Farmer,NA,NA,NA
Indiana,art,Painter,Robert Indiana,NA,NA,NA
Indiana,other,Favorite small town,"Columbus, Indiana",NA,NA,NA
Indiana,person,Blogger and libertarian crusader for civil liberties,Radley Balko,NA,NA,NA
Austria,literature,Novel,"Thomas Bernhard, Wittgenstein’s Nephew",NA,NA,NA
Austria,music,Music,"Schoenberg’s Op. 31, Variations for Orchestra",NA,NA,NA
Austria,literature,Book about,Stefan Zweig’s The World of Yesterday,NA,NA,NA
Austria,art,Draftsman,Egon Schiele,NA,NA,NA
Austria,movie,"Movie, set in",The Third Man,The Third Man (1949),172993,8.1
Netherlands,art,Painter,Mondrian,NA,NA,NA
Netherlands,movie,Movie and Director,"Paul Verhoeven, The Fourth Man",De vierde man (1983),8056,7.2
Netherlands,literature,Novel,"Harry Mulisch, The Discovery of Heaven",NA,NA,NA
Netherlands,music,Classical Music,Sweelinck,NA,NA,NA
Netherlands,music,Popular music song,"""Venus,"" by The Shocking Blue",NA,NA,NA
Netherlands,music,Conductor,Willem Mengelberg,NA,NA,NA
Netherlands,person,Philosophical odds and ends,Erasmus,NA,NA,NA
Netherlands,person,Female spy,Mata Hari,NA,NA,NA
Switzerland,art,Sculptor,Alberto Giacometti,NA,NA,NA
Switzerland,art,Drama,Durrenmatt’s The Visit of the Old Lady,NA,NA,NA
Switzerland,art,Painter,Arnold Boecklin,NA,NA,NA
Switzerland,literature,Novel,Rousseau’s Heloise,NA,NA,NA
Switzerland,movie,Actress,Ursula Andress,NA,NA,NA
Switzerland,movie,"Movie, set in",On Her Majesty’s Secret Service,On Her Majesty's Secret Service (1969),93531,6.8
New York City,other,My favorite demographic charts,Track population changes by borough,NA,NA,NA
New York City,other,Favorite neighborhood,The corner of Hudson and Barrow,NA,NA,NA
New York City,literature,Favorite book about,"Waterfront: A Walk Around Manhattan, by Philip Lopate",NA,NA,NA
New York City,food,Favorite dim sum,"Oriental Garden, in Chinatown, Elizabeth St.",NA,NA,NA
New York City,food,Best lunch bargain,Nougatine,NA,NA,NA
New York City,tv,Favorite Seinfeld episode,Master of His Domain,NA,NA,NA
New York City,other,Favorite free activity that even most New Yorkers don’t do,Browse the auction displays at Christie’s and Sotheby’s,NA,NA,NA
Louisiana,music,Favorite song,"King Porter Stomp, by Jelly Roll Morton",NA,NA,NA
Louisiana,movie,"Movie, set in",Southern Comfort,Southern Comfort (1981),20139,7.1
Louisiana,literature,Writer,John Kennedy Toole,NA,NA,NA
Louisiana,art,Artist,John James Audobon,NA,NA,NA
Louisiana,food,Dish,"Boudin blanc or peppered, boiled crayfish",NA,NA,NA
Virginia,music,Music,Patsy Cline and Maybelle Carter,NA,NA,NA
Virginia,literature,Writer,Willa Cather,NA,NA,NA
Virginia,person,"Deaf, Dumb, and Blind Person",Helen Keller,NA,NA,NA
Virginia,movie,"Movie, set in",Silence of the Lambs,The Silence of the Lambs (1991),1434595,8.6
Virginia,person,The Presidents,Washington,NA,NA,NA
Argentina,music,Tango CD,Astor Piazzola’s Tango: Zero Hour,NA,NA,NA
Argentina,literature,Novel,Cortazar’s Hopscotch,NA,NA,NA
Argentina,literature,Short story,"Tlon, Uqbar, Orbus Tertius, by Borges",NA,NA,NA
Argentina,movie,Film,Nine Queens,Nueve reinas (2000),53733,7.9
Argentina,music,Pianist,Martha Argerich,NA,NA,NA
Argentina,tv,TV show,Epitafios,Epitafios (2004),1290,7.8
Argentina,other,Social science,"Domingo Sarmiento, Facundo: Civilization and Barbarism",NA,NA,NA
Argentina,art,Painter,Guillermo Kuitca,NA,NA,NA
North Carolina,music,Jazz musician,John Coltrane,NA,NA,NA
North Carolina,music,Bluesman,Reverend Gary Davis,NA,NA,NA
North Carolina,music,Female singer-songwriter,Tori Amos,NA,NA,NA
North Carolina,literature,Writer,Thomas Wolfe,NA,NA,NA
North Carolina,sport,Basketball player,Meadowlark Lemon,NA,NA,NA
Rhode Island,music,Music,Scott Hamilton,NA,NA,NA
Rhode Island,art,Painter,Gilbert Stuart,NA,NA,NA
Tennessee,music,Music,Lester Flatt,NA,NA,NA
Tennessee,music,Elvis Presley song,(Marie’s the Name) His Latest Flame,NA,NA,NA
Tennessee,literature,Author,"James Agee, Let us Now Praise Famous Men",NA,NA,NA
Tennessee,movie,Director,Quentin Tarantino,NA,NA,NA
Tennessee,art,Artist,Robert Ryman,NA,NA,NA
New Zealand,movie,Movie and movie director,Vincent Ward’s The Navigator,The Navigator: A Mediaeval Odyssey (1988),3772,6.6
New Zealand,music,Music,The Kiwis,NA,NA,NA
New Zealand,literature,Fiction,Keri Hulme’s The Bone People,NA,NA,NA
New Zealand,art,Painter,Colin McCahon,NA,NA,NA
New Zealand,food,Food,Fish and chips,NA,NA,NA
New Zealand,other,City,Wellington,NA,NA,NA
Australia,movie,Movies,Nicholas Roeg’s dreamy-erotic Walkabout,Walkabout (1971),25907,7.6
Australia,literature,Novel,David Malouf’s An Imaginary Life,NA,NA,NA
Australia,literature,Book about,Robert Hughes’s The Fatal Shore,NA,NA,NA
Australia,music,Music,Paul Kelly,NA,NA,NA
Australia,art,Painter,Fred Williams,NA,NA,NA
Australia,art,Sculptor,Ron Mueck,NA,NA,NA
Peru,literature,Literature,Mario Vargas Llosa,NA,NA,NA
Peru,movie,Movie,Motorcycle Diaries,Diarios de motocicleta (2004),102079,7.8
Peru,music,Music,Susana Baca,NA,NA,NA
Texas,music,Music,Blind Willie Johnson,NA,NA,NA
Texas,art,Painting,Robert Rauschenberg,NA,NA,NA
Texas,literature,Literature,Cormac McCarthy’s Blood Meridian,NA,NA,NA
Texas,food,Food,Texas barbecue,NA,NA,NA
Texas,person,Comedian,Steve Martin,NA,NA,NA
Nevada,literature,Author,Walter van Tilburg Clark,NA,NA,NA
Nevada,person,Paiute Indian Prophet,Jack Gordon,NA,NA,NA
Nevada,movie,"Movie, set in",Casino,Casino (1995),523129,8.2
Nevada,movie,Inexcusable Aberration,Showgirls,NA,NA,NA
Georgia,music,Music,Otis Redding,NA,NA,NA
Georgia,literature,Literature,Flannery O’Connor,NA,NA,NA
Georgia,movie,Cinema,Deliverance,Deliverance (1972),111296,7.7
Georgia,art,Artist,Howard Finster,NA,NA,NA
Florida,movie,Film,Key Largo,Key Largo (1948),41649,7.7
Florida,literature,Literature,Zora Neale Hurston,NA,NA,NA
Florida,music,Music,The Allman Brothers,NA,NA,NA
Florida,art,Art,Edouard Duval-Carrie,NA,NA,NA
France,music,French opera,Debussy’s Pelleas et Melisande,NA,NA,NA
France,food,French restaurant,Savoy,NA,NA,NA
France,literature,French novel,Proust,NA,NA,NA
France,music,French pianist,Yves Nat,NA,NA,NA
France,art,French artist,Poussin,NA,NA,NA
France,music,French popular music,Serge Gainsbourg,NA,NA,NA
France,movie,French movies,A Man Escaped,Un condamné à mort s'est échappé ou Le vent souffle où il veut (1956),22838,8.3
India,music,My favorite Indian musician,Zakir Hussain,NA,NA,NA
India,movie,My favorite Indian movie,Mother India,Mother India (1957),9469,7.8
India,literature,My favorite Indian novel,Vikram Seth’s A Suitable Boy,NA,NA,NA
India,art,My favorite Indian artist,Nandalal Bose,NA,NA,NA
India,sport,Favorite Indian chess player,Vishwanathan Anand,NA,NA,NA
Mexico,literature,Favorite Mexican novel,"Pedro Paramo, by Juan Rolfo",NA,NA,NA
Mexico,music,Favorite Mexican music,Control Machete,NA,NA,NA
Mexico,art,Favorite Mexican artist,Marcial Camilo Ayala,NA,NA,NA
Mexico,food,Favorite Mexican food,Chicken with mole sauce,NA,NA,NA
Mexico,movie,Favorite Mexican movie,Wuthering Heights,Abismos de pasión (1954),1286,6.7
Scotland,art,Favorite Scottish painting,Henry Raeburn,NA,NA,NA
Scotland,literature,Favorite Scottish novel,Alasdair Gray’s quirky Lanark,NA,NA,NA
Scotland,economics,Favorite Scottish economist,David Hume,NA,NA,NA
Scotland,person,Favorite Scottish smartest person ever,David Hume,NA,NA,NA
Scotland,person,Favorite Scottish Commissioner of Customs,Adam Smith,NA,NA,NA
Scotland,person,Favorite Scottish biographer,James Boswell,NA,NA,NA
Scotland,movie,Favorite Scottish movie,Gregory’s Girl,NA,NA,NA
