title,date,rating_imdb,rating_erik,rating_knud
"Merry Christmas, Mrs. Moskowitz",1998-12-17,8.7,9,8
Miracle on Third or Fourth Street,1993-12-16,8.5,8,8
Miss Right Now,2004-04-06,8.2,7,7
Mixed Doubles,1996-11-19,8.9,9,7
Momma Mia,1999-09-23,8.1,8,8
Moon Dance,1996-02-06,9.2,7,9
Moons Over Seattle,2002-05-21,7.6,6,6
Morning Becomes Entertainment,2000-04-06,7.6,4,6
Mother Load: Part 1,2002-01-08,7.2,7,7
Mother Load: Part 2,2002-01-15,7,6,6
Motor Skills,2001-01-30,7.7,5,5
Murder Most Maris,2003-11-11,8.5,7,7
My Coffee with Niles,1994-05-19,8.8,10,9
My Fair Frasier,1997-11-25,7.8,8,7
"No Sex Please, We're Skittish",2003-09-23,8,7,7
Odd Man Out,1997-05-27,7.9,7,6
Oops,1993-11-18,7.9,8,6
Our Father Whose Art Ain't Heaven,1996-12-09,7.7,6,8
"Our Parents, Ourselves",1999-01-21,7.5,6,7
Out with Dad,2000-02-10,9.1,9,10
"Party, Party",1998-05-19,7.7,6,6
Perspectives on Christmas,1997-12-16,8.6,10,7
Police Story,1996-04-23,7.7,8,7
Proxy Prexy,2002-10-08,7.6,5,6
RDWRER,2000-01-06,8.3,8,8
Radio Wars,1999-10-07,8,5,6
Retirement Is Murder,1995-01-10,8.3,7,9
Rivals,1999-11-04,7.6,7,4
Roe to Perdition,2003-03-18,8.3,5,8
Room Full of Heroes,2001-10-30,8.2,7,9
Room Service,1998-03-03,8.9,8,8
Rooms with a View,2002-11-19,8.5,6,8
Roz and the Schnoz,1998-05-05,8.5,5,8
Roz in the Doghouse,1995-01-03,7.9,6,7
Roz's Krantz & Gouldenstein Are Dead,1997-03-11,8.1,6,6
Roz's Turn,1997-04-15,7.8,6,6
"Roz, a Loan",1998-12-10,7.5,5,6
Sea Bee Jeebies,2003-12-02,7.5,6,7
Seat of Power,1994-12-13,8.3,7,8
Secret Admirer,1998-11-05,7.7,6,6
Selling Out,1993-11-11,8,9,7
Semi-Decent Proposal,2001-05-15,7.4,7,6
Sharing Kirby,2001-11-20,7.2,7,6
She's the Boss,1995-09-19,8.1,6,7
Shrink Rap,1995-09-26,8,6,8
Shutout in Seattle: Part 1,1999-05-20,8.1,8,8
Shutout in Seattle: Part 2,1999-05-20,8.5,9,9
Sleeping with the Enemy,1995-11-14,8.1,7,8
