postnr,postnrnavn,kommunekode,kommunenavn
5800,Nyborg,0450,Nyborg
5853,Ørbæk,0450,Nyborg
5853,Ørbæk,0430,Faaborg-Midtfyn
5854,Gislev,0430,Faaborg-Midtfyn
5854,Gislev,0479,Svendborg
5856,Ryslinge,0430,Faaborg-Midtfyn
5863,Ferritslev Fyn,0430,Faaborg-Midtfyn
5871,Frørup,0450,Nyborg
5874,Hesselager,0479,Svendborg
5874,Hesselager,0450,Nyborg
5881,Skårup Fyn,0479,Svendborg
5882,Vejstrup,0479,Svendborg
5883,Oure,0479,Svendborg
5884,Gudme,0479,Svendborg
5892,Gudbjerg Sydfyn,0479,Svendborg
5900,Rudkøbing,0482,Langeland
5932,Humble,0482,Langeland
5935,Bagenkop,0482,Langeland
5943,Strynø,0482,Langeland
5953,Tranekær,0482,Langeland
5960,Marstal,0492,Ærø
5965,Birkholm,0492,Ærø
5970,Ærøskøbing,0492,Ærø
5985,Søby Ærø,0492,Ærø
6000,Kolding,0621,Kolding
6040,Egtved,0621,Kolding
6040,Egtved,0630,Vejle
6051,Almind,0621,Kolding
6052,Viuf,0630,Vejle
6052,Viuf,0621,Kolding
6064,Jordrup,0621,Kolding
6070,Christiansfeld,0621,Kolding
6070,Christiansfeld,0510,Haderslev
6091,Bjert,0621,Kolding
6092,Sønder Stenderup,0621,Kolding
6093,Sjølund,0621,Kolding
6094,Hejls,0621,Kolding
6094,Hejls,0510,Haderslev
6100,Haderslev,0510,Haderslev
6100,Haderslev,0621,Kolding
6200,Aabenraa,0580,Aabenraa
6210,Barsø,0580,Aabenraa
6230,Rødekro,0580,Aabenraa
6240,Løgumkloster,0550,Tønder
6261,Bredebro,0550,Tønder
6270,Tønder,0550,Tønder
6280,Højer,0550,Tønder
6300,Gråsten,0540,Sønderborg
6300,Gråsten,0580,Aabenraa
6310,Broager,0540,Sønderborg
6320,Egernsund,0540,Sønderborg
6330,Padborg,0580,Aabenraa
6340,Kruså,0580,Aabenraa
6360,Tinglev,0580,Aabenraa
6372,Bylderup-Bov,0580,Aabenraa
6392,Bolderslev,0580,Aabenraa
6400,Sønderborg,0540,Sønderborg
6430,Nordborg,0540,Sønderborg
6440,Augustenborg,0540,Sønderborg
6470,Sydals,0540,Sønderborg
6500,Vojens,0510,Haderslev
6510,Gram,0510,Haderslev
6520,Toftlund,0550,Tønder
6520,Toftlund,0510,Haderslev
6534,Agerskov,0550,Tønder
6534,Agerskov,0510,Haderslev
6534,Agerskov,0580,Aabenraa
6535,Branderup J,0550,Tønder
6541,Bevtoft,0510,Haderslev
6541,Bevtoft,0550,Tønder
6560,Sommersted,0510,Haderslev
6560,Sommersted,0621,Kolding
6580,Vamdrup,0621,Kolding
6600,Vejen,0575,Vejen
6621,Gesten,0575,Vejen
6622,Bække,0575,Vejen
6623,Vorbasse,0530,Billund
6623,Vorbasse,0575,Vejen
6623,Vorbasse,0630,Vejle
6630,Rødding,0575,Vejen
6630,Rødding,0510,Haderslev
6640,Lunderskov,0621,Kolding
6650,Brørup,0575,Vejen
6660,Lintrup,0575,Vejen
6670,Holsted,0575,Vejen
6670,Holsted,0561,Esbjerg
6682,Hovborg,0575,Vejen
6682,Hovborg,0530,Billund
6682,Hovborg,0573,Varde
6683,Føvling,0575,Vejen
6683,Føvling,0561,Esbjerg
6690,Gørding,0561,Esbjerg
6690,Gørding,0575,Vejen
6700,Esbjerg,0561,Esbjerg
6705,Esbjerg Ø,0561,Esbjerg
6710,Esbjerg V,0561,Esbjerg
6715,Esbjerg N,0561,Esbjerg
6720,Fanø,0563,Fanø
6731,Tjæreborg,0561,Esbjerg
6740,Bramming,0561,Esbjerg
6752,Glejbjerg,0575,Vejen
6753,Agerbæk,0573,Varde
6753,Agerbæk,0575,Vejen
6760,Ribe,0561,Esbjerg
6771,Gredstedbro,0561,Esbjerg
6780,Skærbæk,0550,Tønder
6792,Rømø,0550,Tønder
6800,Varde,0573,Varde
6818,Årre,0561,Esbjerg
6818,Årre,0573,Varde
6823,Ansager,0573,Varde
6823,Ansager,0530,Billund
6830,Nørre Nebel,0573,Varde
6830,Nørre Nebel,0760,Ringkøbing-Skjern
6840,Oksbøl,0573,Varde
6851,Janderup Vestj,0573,Varde
6852,Billum,0573,Varde
6853,Vejers Strand,0573,Varde
6854,Henne,0573,Varde
6855,Outrup,0573,Varde
6857,Blåvand,0573,Varde
6862,Tistrup,0573,Varde
6870,Ølgod,0573,Varde
6870,Ølgod,0760,Ringkøbing-Skjern
6880,Tarm,0760,Ringkøbing-Skjern
6880,Tarm,0573,Varde
6893,Hemmet,0760,Ringkøbing-Skjern
6900,Skjern,0760,Ringkøbing-Skjern
6920,Videbæk,0760,Ringkøbing-Skjern
6933,Kibæk,0657,Herning
6933,Kibæk,0760,Ringkøbing-Skjern
6940,Lem St,0760,Ringkøbing-Skjern
6950,Ringkøbing,0760,Ringkøbing-Skjern
6960,Hvide Sande,0760,Ringkøbing-Skjern
6971,Spjald,0760,Ringkøbing-Skjern
6973,Ørnhøj,0657,Herning
6973,Ørnhøj,0760,Ringkøbing-Skjern
6980,Tim,0760,Ringkøbing-Skjern
6990,Ulfborg,0661,Holstebro
6990,Ulfborg,0760,Ringkøbing-Skjern
6990,Ulfborg,0665,Lemvig
6990,Ulfborg,0657,Herning
7000,Fredericia,0607,Fredericia
7000,Fredericia,0630,Vejle
7080,Børkop,0630,Vejle
7100,Vejle,0630,Vejle
7100,Vejle,0766,Hedensted
7120,Vejle Øst,0630,Vejle
7120,Vejle Øst,0766,Hedensted
7130,Juelsminde,0766,Hedensted
7140,Stouby,0766,Hedensted
7150,Barrit,0766,Hedensted
7160,Tørring,0766,Hedensted
7160,Tørring,0630,Vejle
7160,Tørring,0756,Ikast-Brande
7171,Uldum,0766,Hedensted
7173,Vonge,0630,Vejle
7182,Bredsten,0630,Vejle
7183,Randbøl,0630,Vejle
7184,Vandel,0630,Vejle
7190,Billund,0530,Billund
7190,Billund,0630,Vejle
7200,Grindsted,0530,Billund
7200,Grindsted,0573,Varde
7200,Grindsted,0630,Vejle
7200,Grindsted,0760,Ringkøbing-Skjern
7250,Hejnsvig,0530,Billund
7260,Sønder Omme,0530,Billund
7260,Sønder Omme,0657,Herning
7270,Stakroge,0657,Herning
7270,Stakroge,0530,Billund
7270,Stakroge,0760,Ringkøbing-Skjern
7280,Sønder Felding,0657,Herning
7280,Sønder Felding,0760,Ringkøbing-Skjern
7300,Jelling,0630,Vejle
7321,Gadbjerg,0630,Vejle
7323,Give,0630,Vejle
7323,Give,0756,Ikast-Brande
7330,Brande,0756,Ikast-Brande
7330,Brande,0630,Vejle
7330,Brande,0657,Herning
7361,Ejstrupholm,0756,Ikast-Brande
7361,Ejstrupholm,0630,Vejle
7362,Hampen,0756,Ikast-Brande
7362,Hampen,0740,Silkeborg
7400,Herning,0657,Herning
7400,Herning,0756,Ikast-Brande
7400,Herning,0760,Ringkøbing-Skjern
7430,Ikast,0756,Ikast-Brande
7441,Bording,0756,Ikast-Brande
7441,Bording,0740,Silkeborg
7442,Engesvang,0756,Ikast-Brande
7442,Engesvang,0740,Silkeborg
7451,Sunds,0657,Herning
7451,Sunds,0756,Ikast-Brande
7451,Sunds,0791,Viborg
7470,Karup J,0791,Viborg
7470,Karup J,0657,Herning
7470,Karup J,0740,Silkeborg
7480,Vildbjerg,0657,Herning
7480,Vildbjerg,0760,Ringkøbing-Skjern
7490,Aulum,0657,Herning
7500,Holstebro,0661,Holstebro
7500,Holstebro,0657,Herning
7500,Holstebro,0671,Struer
7540,Haderup,0657,Herning
7540,Haderup,0661,Holstebro
7540,Haderup,0791,Viborg
7550,Sørvad,0657,Herning
7560,Hjerm,0671,Struer
7560,Hjerm,0661,Holstebro
7570,Vemb,0661,Holstebro
7570,Vemb,0665,Lemvig
7600,Struer,0671,Struer
7600,Struer,0661,Holstebro
7600,Struer,0665,Lemvig
7620,Lemvig,0665,Lemvig
7620,Lemvig,0671,Struer
7650,Bøvlingbjerg,0665,Lemvig
7660,Bækmarksbro,0665,Lemvig
7660,Bækmarksbro,0671,Struer
7673,Harboøre,0665,Lemvig
7680,Thyborøn,0665,Lemvig
7700,Thisted,0787,Thisted
7730,Hanstholm,0787,Thisted
7741,Frøstrup,0787,Thisted
7742,Vesløs,0787,Thisted
7752,Snedsted,0787,Thisted
7755,Bedsted Thy,0787,Thisted
7760,Hurup Thy,0787,Thisted
7760,Hurup Thy,0671,Struer
7770,Vestervig,0787,Thisted
7790,Thyholm,0671,Struer
7800,Skive,0779,Skive
7800,Skive,0661,Holstebro
7800,Skive,0791,Viborg
7830,Vinderup,0661,Holstebro
7830,Vinderup,0671,Struer
7830,Vinderup,0779,Skive
7830,Vinderup,0657,Herning
7840,Højslev,0779,Skive
7840,Højslev,0791,Viborg
7850,Stoholm Jyll,0791,Viborg
7860,Spøttrup,0779,Skive
7870,Roslev,0779,Skive
7884,Fur,0779,Skive
7900,Nykøbing M,0773,Morsø
7950,Erslev,0773,Morsø
7960,Karby,0773,Morsø
7970,Redsted M,0773,Morsø
7980,Vils,0773,Morsø
7990,Øster Assels,0773,Morsø
8000,Aarhus C,0751,Aarhus
8200,Aarhus N,0751,Aarhus
8210,Aarhus V,0751,Aarhus
8220,Brabrand,0751,Aarhus
8230,Åbyhøj,0751,Aarhus
8240,Risskov,0751,Aarhus
8250,Egå,0751,Aarhus
8260,Viby J,0751,Aarhus
8270,Højbjerg,0751,Aarhus
8300,Odder,0727,Odder
8300,Odder,0751,Aarhus
8305,Samsø,0741,Samsø
8310,Tranbjerg J,0751,Aarhus
8320,Mårslet,0751,Aarhus
8330,Beder,0751,Aarhus
8340,Malling,0751,Aarhus
8340,Malling,0727,Odder
8350,Hundslund,0727,Odder
8355,Solbjerg,0751,Aarhus
8361,Hasselager,0751,Aarhus
8362,Hørning,0746,Skanderborg
8362,Hørning,0751,Aarhus
8370,Hadsten,0710,Favrskov
8380,Trige,0751,Aarhus
8380,Trige,0710,Favrskov
8381,Tilst,0751,Aarhus
8382,Hinnerup,0710,Favrskov
8382,Hinnerup,0751,Aarhus
8400,Ebeltoft,0706,Syddjurs
8410,Rønde,0706,Syddjurs
8420,Knebel,0706,Syddjurs
8444,Balle,0706,Syddjurs
8444,Balle,0707,Norddjurs
8450,Hammel,0710,Favrskov
8450,Hammel,0740,Silkeborg
8462,Harlev J,0751,Aarhus
8464,Galten,0746,Skanderborg
8464,Galten,0751,Aarhus
8471,Sabro,0751,Aarhus
8471,Sabro,0710,Favrskov
8471,Sabro,0746,Skanderborg
8472,Sporup,0746,Skanderborg
8472,Sporup,0740,Silkeborg
8472,Sporup,0710,Favrskov
8500,Grenaa,0707,Norddjurs
8520,Lystrup,0751,Aarhus
8530,Hjortshøj,0751,Aarhus
8541,Skødstrup,0751,Aarhus
8543,Hornslet,0706,Syddjurs
8543,Hornslet,0751,Aarhus
8544,Mørke,0706,Syddjurs
8550,Ryomgård,0706,Syddjurs
8550,Ryomgård,0707,Norddjurs
8560,Kolind,0706,Syddjurs
8560,Kolind,0707,Norddjurs
8570,Trustrup,0707,Norddjurs
8570,Trustrup,0706,Syddjurs
8581,Nimtofte,0706,Syddjurs
8581,Nimtofte,0707,Norddjurs
8585,Glesborg,0707,Norddjurs
8586,Ørum Djurs,0707,Norddjurs
8592,Anholt,0707,Norddjurs
8600,Silkeborg,0740,Silkeborg
8600,Silkeborg,0756,Ikast-Brande
8600,Silkeborg,0746,Skanderborg
8620,Kjellerup,0740,Silkeborg
8620,Kjellerup,0791,Viborg
8632,Lemming,0740,Silkeborg
8641,Sorring,0740,Silkeborg
8641,Sorring,0710,Favrskov
8643,Ans By,0740,Silkeborg
8643,Ans By,0791,Viborg
8653,Them,0740,Silkeborg
8654,Bryrup,0740,Silkeborg
8654,Bryrup,0615,Horsens
8654,Bryrup,0756,Ikast-Brande
8660,Skanderborg,0746,Skanderborg
8660,Skanderborg,0615,Horsens
8660,Skanderborg,0727,Odder
8660,Skanderborg,0751,Aarhus
8670,Låsby,0746,Skanderborg
8680,Ry,0746,Skanderborg
8680,Ry,0615,Horsens
8680,Ry,0740,Silkeborg
8700,Horsens,0615,Horsens
8700,Horsens,0766,Hedensted
8721,Daugård,0766,Hedensted
8721,Daugård,0630,Vejle
8722,Hedensted,0766,Hedensted
8723,Løsning,0766,Hedensted
8732,Hovedgård,0615,Horsens
8740,Brædstrup,0615,Horsens
8740,Brædstrup,0740,Silkeborg
8751,Gedved,0615,Horsens
8751,Gedved,0746,Skanderborg
8752,Østbirk,0615,Horsens
8762,Flemming,0615,Horsens
8762,Flemming,0766,Hedensted
8763,Rask Mølle,0766,Hedensted
8765,Klovborg,0615,Horsens
8765,Klovborg,0756,Ikast-Brande
8766,Nørre Snede,0756,Ikast-Brande
8766,Nørre Snede,0766,Hedensted
8781,Stenderup,0766,Hedensted
8781,Stenderup,0615,Horsens
8783,Hornsyld,0766,Hedensted
8783,Hornsyld,0615,Horsens
8789,Endelave,0615,Horsens
8799,Tunø,0727,Odder
8800,Viborg,0791,Viborg
8800,Viborg,0740,Silkeborg
8830,Tjele,0791,Viborg
8831,Løgstrup,0791,Viborg
8832,Skals,0791,Viborg
8840,Rødkærsbro,0740,Silkeborg
8840,Rødkærsbro,0791,Viborg
8850,Bjerringbro,0791,Viborg
8850,Bjerringbro,0710,Favrskov
8860,Ulstrup,0710,Favrskov
8860,Ulstrup,0730,Randers
8860,Ulstrup,0791,Viborg
8870,Langå,0730,Randers
8870,Langå,0710,Favrskov
8881,Thorsø,0710,Favrskov
8881,Thorsø,0740,Silkeborg
8882,Fårvang,0740,Silkeborg
8882,Fårvang,0710,Favrskov
8883,Gjern,0740,Silkeborg
8900,Randers C,0730,Randers
8920,Randers NV,0730,Randers
8930,Randers NØ,0730,Randers
8940,Randers SV,0730,Randers
8940,Randers SV,0710,Favrskov
8950,Ørsted,0707,Norddjurs
8960,Randers SØ,0730,Randers
8960,Randers SØ,0710,Favrskov
8961,Allingåbro,0707,Norddjurs
8963,Auning,0706,Syddjurs
8963,Auning,0707,Norddjurs
8963,Auning,0730,Randers
8970,Havndal,0730,Randers
8970,Havndal,0846,Mariagerfjord
8981,Spentrup,0730,Randers
8983,Gjerlev J,0730,Randers
8990,Fårup,0730,Randers
8990,Fårup,0846,Mariagerfjord
9000,Aalborg,0851,Aalborg
9200,Aalborg SV,0851,Aalborg
9210,Aalborg SØ,0851,Aalborg
9220,Aalborg Øst,0851,Aalborg
9230,Svenstrup J,0851,Aalborg
9230,Svenstrup J,0840,Rebild
9240,Nibe,0851,Aalborg
9240,Nibe,0820,Vesthimmerlands
9240,Nibe,0840,Rebild
9260,Gistrup,0851,Aalborg
9260,Gistrup,0840,Rebild
9270,Klarup,0851,Aalborg
9280,Storvorde,0851,Aalborg
9293,Kongerslev,0851,Aalborg
9293,Kongerslev,0840,Rebild
9300,Sæby,0813,Frederikshavn
9310,Vodskov,0851,Aalborg
9320,Hjallerup,0810,Brønderslev
9320,Hjallerup,0851,Aalborg
9330,Dronninglund,0813,Frederikshavn
9330,Dronninglund,0810,Brønderslev
9340,Asaa,0810,Brønderslev
9340,Asaa,0813,Frederikshavn
9352,Dybvad,0813,Frederikshavn
9352,Dybvad,0810,Brønderslev
9362,Gandrup,0851,Aalborg
9370,Hals,0851,Aalborg
9370,Hals,0810,Brønderslev
9380,Vestbjerg,0851,Aalborg
9381,Sulsted,0851,Aalborg
9381,Sulsted,0849,Jammerbugt
9382,Tylstrup,0851,Aalborg
9382,Tylstrup,0810,Brønderslev
9382,Tylstrup,0849,Jammerbugt
9400,Nørresundby,0851,Aalborg
9430,Vadum,0849,Jammerbugt
9430,Vadum,0851,Aalborg
9440,Aabybro,0849,Jammerbugt
9440,Aabybro,0810,Brønderslev
9440,Aabybro,0851,Aalborg
9460,Brovst,0849,Jammerbugt
9480,Løkken,0849,Jammerbugt
9480,Løkken,0860,Hjørring
9480,Løkken,0810,Brønderslev
9490,Pandrup,0849,Jammerbugt
9492,Blokhus,0849,Jammerbugt
9493,Saltum,0849,Jammerbugt
9500,Hobro,0846,Mariagerfjord
9500,Hobro,0791,Viborg
9500,Hobro,0840,Rebild
9510,Arden,0846,Mariagerfjord
9510,Arden,0840,Rebild
9520,Skørping,0840,Rebild
9530,Støvring,0840,Rebild
9530,Støvring,0851,Aalborg
9541,Suldrup,0840,Rebild
9541,Suldrup,0820,Vesthimmerlands
9550,Mariager,0846,Mariagerfjord
9550,Mariager,0730,Randers
9560,Hadsund,0846,Mariagerfjord
9560,Hadsund,0840,Rebild
9574,Bælum,0840,Rebild
9574,Bælum,0851,Aalborg
9575,Terndrup,0840,Rebild
9600,Aars,0820,Vesthimmerlands
9600,Aars,0840,Rebild
9610,Nørager,0840,Rebild
9610,Nørager,0820,Vesthimmerlands
9620,Aalestrup,0820,Vesthimmerlands
9620,Aalestrup,0791,Viborg
9620,Aalestrup,0846,Mariagerfjord
9620,Aalestrup,0840,Rebild
9631,Gedsted,0791,Viborg
9631,Gedsted,0820,Vesthimmerlands
9632,Møldrup,0791,Viborg
9640,Farsø,0820,Vesthimmerlands
9670,Løgstør,0820,Vesthimmerlands
9670,Løgstør,0849,Jammerbugt
9681,Ranum,0820,Vesthimmerlands
9690,Fjerritslev,0849,Jammerbugt
9700,Brønderslev,0810,Brønderslev
9700,Brønderslev,0849,Jammerbugt
9740,Jerslev J,0810,Brønderslev
9740,Jerslev J,0860,Hjørring
9750,Østervrå,0813,Frederikshavn
9750,Østervrå,0810,Brønderslev
9750,Østervrå,0860,Hjørring
9760,Vrå,0860,Hjørring
9760,Vrå,0810,Brønderslev
9800,Hjørring,0860,Hjørring
9830,Tårs,0860,Hjørring
9830,Tårs,0813,Frederikshavn
9850,Hirtshals,0860,Hjørring
9870,Sindal,0860,Hjørring
9870,Sindal,0813,Frederikshavn
9881,Bindslev,0860,Hjørring
9881,Bindslev,0813,Frederikshavn
9900,Frederikshavn,0813,Frederikshavn
9900,Frederikshavn,0860,Hjørring
9940,Læsø,0825,Læsø
9970,Strandby,0813,Frederikshavn
9981,Jerup,0813,Frederikshavn
9982,Ålbæk,0813,Frederikshavn
9982,Ålbæk,0860,Hjørring
9990,Skagen,0813,Frederikshavn
